ID,title,coords,IDImagenVitrina
10233100,2331,"548, 1051, 50",6008001
12331100,2331,"167, 1053, 50",6008002
10308800,3088,"328, 487, 40",6006004
10309000,3090,"197, 724, 20",6007001
10309900,3099,"439, 605, 20",6009002
10400000,4000,"516, 561, 20",6007002
10410100,4101,"611, 553, 20",6009003
20000009,4102,"696, 1112, 40",6009003
10417200,4172,"784, 437, 20",6009001
14172100,4172,"390, 436, 20",6009002
10417300,4173,"366, 696, 30",6009003
10417400,4174,"487, 162, 50",6006003
10417500,4175,"376, 131, 30- 376, 189, 30",6006003
10417600,4176,"312, 132, 30- 312, 186, 30",6006003
10424000,4240,"423, 541, 20",6009002
10424100,4241,"516, 525, 20",6009002
10424200,4242,"450, 536, 30",6007002
10424300,4243,,
10424400,4244,"247, 732, 20",6007001
10424800,4248,"467, 180, 20",6009003
20000007,4251,"514, 1118, 40",6009003
10425200,4252,"214, 765, 10- 228, 774, 10- 237, 788, 10",6007001
10425300,4253,"186, 1113, 30",6009001
10425400,4254,"767, 397, 20",6007001
14254100,4254,"379, 389, 20",6007002
10425500,4255,"711, 497, 20",6007001
14255100,4255,"324, 490, 20",6007002
10425600,4256,"737, 1112, 40",6008003
14256100,4256,"462, 1112, 40",6008004
10426000,4260,"298, 953, 30- 298, 1006, 30",6006004
10426100,4261,"363, 956, 30- 363, 1007, 30",6006004
10426600,4266,"560, 542, 40",6006004
10426700,4267,"631, 471, 50",6006004
10426900,4269,"454, 1081, 40",6008001
14269100,4269,"73, 1085, 40",6008002
10427000,4270,"103, 1053, 65",6008003
10427100,4271,"695, 910, 40- 743, 910, 40- 699, 963, 50",6008003
14271100,4271,"437, 910, 40- 486, 910, 40- 442, 963, 50",6008004
10427300,4273,"700, 272, 50- 700, 352, 50",6006002
14273100,4273,"39, 270, 50- 39, 346, 50",6006003
10427400,4274,"594, 997, 50",6006003
14274100,4274,"88, 997, 40",6006004
10427500,4275,"641, 987, 50- 693, 987, 50- 669, 1066, 50",6008001
14275100,4275,"265, 993, 50- 312, 993, 50- 288, 1071, 50",6008002
10427600,4276,"294, 1080, 50- 250, 1019, 30- 291, 1019, 30- 329, 1019, 30",
10427700,4277,"498, 1011, 30- 498, 1050, 30- 498, 1097, 30",6006003
10427800,4278,"484, 307, 30- 484, 359, 40",6006003
10427900,4279,"528, 908, 30",6006004
10428000,4280,,6006004
10428100,4281,"476, 924, 50",6006003
10428200,4282,"767, 889, 30- 767, 944, 30- 767, 1000, 30",6006002
14282100,4282,"41, 892, 30- 34, 940, 30- 22, 1003, 30",
10428300,4283,"672, 944, 30- 672, 1004, 30",6006003
14283100,4283,"160, 942, 30- 160,1000, 30",6006004
10428400,4284,"408, 674, 40- 408, 739, 40",6006003
10428500,4285,"466, 276, 30- 466, 327, 40",6006004
10428600,4286,"635, 98, 30- 645, 161, 50",6006004
10428700,4287,"299, 681, 40- 299, 747, 40",6006003
10428800,4288,"742, 997, 30- 742, 1019, 30",6006003
14288100,4288,"226, 977, 30- 226, 1016, 30",6006004
10428900,4289,"332, 332, 60",6006003
10429100,4291,"172, 867, 30- 179, 932, 40",6006003
20000006,4295,"186, 1113, 30",6009003
10429900,4299,,
10457600,4576,"761, 567, 20",6009001
14576100,4576,"367, 566, 20",6009002
10457700,4577,"488, 1074, 30- 488, 1123, 30",6008002
10457800,4578,"523, 994, 30",6008003
14578100,4578,"265, 995, 30",6008004
20000013,4854,"492, 1014, 30- 498, 1065, 30- 498, 1104, 20",6011002
10489300,4893,"600, 1059, 20- 623, 1045, 20",6010002
10490100,4901,"526, 594, 20",6010002
10490400,4904,"487, 476, 20",6007002
10490600,4906,"84, 615, 20- 120, 615, 30- 159, 615, 20",6007003
10505500,5055,"582, 281, 20",6009003
10505600,5056,"684, 270, 20",6009003
10505700,5057,"122, 714, 10- 139, 714, 10- 156, 714, 10",6007001
