ID,IDGroup,title,masInfo,codigo,material,sitio,comuna,provincia,imagenes,video,video3d
864,86400,Tembetá,,864,Combarbalita,Los Infieles,"Vallenar, Provincia de Huasco",,"IMG_6472.JPG, IMG_6474.JPG, IMG_6475.JPG",,
866,86600,Vasija,,866,Arcilla,Huanta,"Vicuña, Provincia de Elqui",,"IMG_6254.JPG, IMG_6255.JPG, IMG_6256.JPG, IMG_6260.JPG",,
903,90300,Vasija,,903,Arcilla,Hacienda San Carlos,"Vicuña, Provincia de Elqui",,"IMG_6597.JPG, IMG_6598.JPG, IMG_6599.JPG, IMG_6600.JPG",,
971,97100,Escudilla,,971,Arcilla,San Carlos,"Vicuña, Provincia de Elqui",,"IMG_6745.JPG, IMG_6747.JPG, IMG_6748.JPG, IMG_6749.JPG",,
1184,118400,Olla,,A-1-84,Arcilla,Cuz Cuz,"Illapel, Provincia de Choapa",,"IMG_6277.JPG, IMG_6278.JPG, IMG_6279.JPG, IMG_6280.JPG",,
1228,122800,Puco,,1228,Arcilla,Marquesa,"Vicuña, Provincia de Elqui",,"IMG_6723.JPG, IMG_6724.JPG, IMG_6725.JPG, IMG_6726.JPG",,
1258,125800,Tembetá,,1258,Piedra,Marquesa,"Vicuña, Provincia de Elqui",,"IMG_6466.JPG, IMG_6467.JPG, IMG_6468.JPG",,
1259,125900,Tembetá,,1259,Combarbalita,Marquesa,"Vicuña, Provincia de Elqui",,"IMG_6969.JPG, IMG_6970.JPG, IMG_6971.JPG, IMG_6972.JPG",,
1263,126300,Cuenco ,,1263,Arcilla ,Marquesa,"Vicuña, Provincia de Elqui",,"IMG_6685.JPG, IMG_6686.JPG, IMG_6687.JPG, IMG_6688.JPG",,
1265,126500,Puco,,1265,Arcilla,Marquesa,"Vicuña, Provincia de Elqui",,"IMG_6678.JPG, IMG_6679.JPG, IMG_6680.JPG, IMG_6683.JPG",,
1361,136100,Puco,,136,Arcilla,El Olivar (Compañía Baja),"La Serena, Provincia de Elqui",,"IMG_6767.JPG, IMG_6768.JPG, IMG_6769.JPG",,
1463,146300,,,1463,,,,,"IMG_6287.JPG, IMG_6288.JPG, IMG_6289.JPG, IMG_6290.JPG",,
1609,160900,Pipa,,1609,Andesita,Sitio desconocido,Desconocida,,COMODIN.jpg,,
1677,167700,Jarro,,1677,Arcilla,Sitio desconocido,Desconocida,,"IMG_6741.JPG, IMG_6742.JPG, IMG_6743.JPG, IMG_6744.JPG",,
1843,184300,Cuenco,,1843,Arcilla,Sitio desconocido,Desconocida,,"IMG_6781.JPG, IMG_6782.JPG, IMG_6783.JPG",,
1846,184600,Puco,,1846,Arcilla,Plaza de Armas La Serena,"La Serena, Provincia de Elqui",,"IMG_6695.JPG, IMG_6696.JPG, IMG_6697.JPG, IMG_6699.JPG",,
1847,184700,Cuenco,,1847,Arcilla,Sitio desconocido,Desconocida,,"IMG_6603.JPG, IMG_6604.JPG, IMG_6605.JPG, IMG_6606.JPG",,
1851,185100,Puco,,1851,Arcilla,Sitio desconocido,Desconocida,,"IMG_6775.JPG, IMG_6776.JPG, IMG_6777.JPG, IMG_6779.JPG",,051_L_MK1.mp4
1852,185200,Puco,,1852,Arcilla,Sitio desconocido,Desconocida,,"IMG_6752.JPG, IMG_6753.JPG, IMG_6754.JPG, IMG_6756.JPG",,
1853,185300,Escudilla,,1853,Arcilla,Sitio desconocido,Desconocida,,"IMG_6784.JPG, IMG_6785.JPG, IMG_6786.JPG, IMG_6787.JPG",,
1963,196300,Olla,,1963,Arcilla,Sitio desconocido,Desconocida,,COMODIN.jpg,,
1976,197600,Plato,,1976,Arcilla,Sitio desconocido,Desconocida,,"IMG_6366.JPG, IMG_6367.JPG, IMG_6368.JPG",,
1985,198500,Puco,,1985,Arcilla,El Olivar (Compañía Baja),"La Serena, Provincia de Elqui",,"IMG_6757.JPG, IMG_6758.JPG, IMG_6759.JPG, IMG_6760.JPG",,
1990,199000,Plato,,1990,Arcilla,Sitio desconocido,Desconocida,,COMODIN.jpg,,
2060,206000,Tembetá,,2060,Piedra,"Agua de La Negra, Cachiyuyo","Vallenar, Provincia de Huasco",,"IMG_6926.JPG, IMG_6927.JPG, IMG_6928.JPG, IMG_6929.JPG",,
2061,206100,Tembetá,,2061,Piedra,"Agua de La Negra, Cachiyuyo","Vallenar, Provincia de Huasco",,"IMG_6922.JPG, IMG_6923.JPG, IMG_6924.JPG, IMG_6925.JPG",,
2062,206200,Tembetá,,2062,Indeterminada,Agua de La Negra-Cachiyuyo,"Vallenar, Provincia de Huasco",,"IMG_6113.JPG, IMG_6114.JPG, IMG_6115.JPG, IMG_6116.JPG",,
2124,212400,Pipa,,2124,Combarbalita,Sitio desconocido,Desconocida,,"IMG_5888.JPG, IMG_5889.JPG",,
2231,223100,Vasija,,223,Arcilla ,El Molle,"Vicuña, Provincia de Elqui",,"IMG_6247.JPG, IMG_6248.JPG, IMG_6249.JPG, IMG_6253.JPG",,
2331,233100,Cántaro,,2331,Arcilla,Dunas de Guayacán,"Coquimbo, Provincia de Elqui",,"IMG_6352.JPG, IMG_6353.JPG, IMG_6354.JPG, IMG_6355.JPG",,
3088,308800,Olla,,3088,Arcilla,Las Breas,"Río Hurtado, Provincia de Limarí",,"IMG_5858.JPG, IMG_5859.JPG, IMG_5860.JPG, IMG_5862.JPG",,
3090,309000,Tembetá,,3090,Combarbalita,La Turquía,"Río Hurtado, Provincia de Limarí",,"IMG_6124.JPG, IMG_6125.JPG, IMG_6126.JPG",,
3099,309900,Colgante,,3099,Cobre,Hurtado,"Río Hurtado, Provincia de Limarí",,COMODIN.jpg,,
4000,400000,Adorno,,4000,Cobre,La Turquía,"Río Hurtado, Provincia de Limarí",,"IMG_6651.JPG, IMG_6654.JPG",,
4101,410100,Tembetá,,4101,Combarbalita,Morrillos,"Río Hurtado, Provincia de Limarí",,"IMG_6479.JPG, IMG_6480.JPG, IMG_6481.JPG",,
4102,410200,Tembetá ,,4102,Combarbalita ,Las Breas,"Río Hurtado, Provincia de Limarí",,"IMG_6934.JPG, IMG_6935.JPG, IMG_6936.JPG",,
4172,417200,Adorno,,4172,Oro,Hurtado,"Río Hurtado, Provincia de Limarí",,COMODIN.jpg,,045_L_MK1.mp4
4173,417300,Brazalete,,4173,Cobre,Hurtado,"Hurtado, Provincia de Limarí",,COMODIN.jpg,,046_L_MK1.mp4
